"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";
"D1";"";"DIODESMA";"SMADIODE";"Diode";"";"";"";"";"";
"D2";"";"DIODESMA";"SMADIODE";"Diode";"";"";"";"";"";
"D3";"";"DIODESMA";"SMADIODE";"Diode";"";"";"";"";"";
"D4";"";"DIODESMA";"SMADIODE";"Diode";"";"";"";"";"";
"D5";"";"DIODESMA";"SMADIODE";"Diode";"";"";"";"";"";
"D6";"";"DIODESMA";"SMADIODE";"Diode";"";"";"";"";"";
"D7";"";"DIODESMA";"SMADIODE";"Diode";"";"";"";"";"";
"D8";"";"DIODESMA";"SMADIODE";"Diode";"";"";"";"";"";
"D9";"";"DIODESMA";"SMADIODE";"Diode";"";"";"";"";"";
"D10";"";"DIODESMA";"SMADIODE";"Diode";"";"";"";"";"";
"D11";"";"DIODESMA";"SMADIODE";"Diode";"";"";"";"";"";
"D12";"";"DIODESMA";"SMADIODE";"Diode";"";"";"";"";"";
"H1";"MOUNT-PAD-ROUND3.0";"MOUNT-PAD-ROUND3.0";"3,0-PAD";"MOUNTING PAD, round";"";"";"";"";"17";
"H2";"MOUNT-PAD-ROUND3.0";"MOUNT-PAD-ROUND3.0";"3,0-PAD";"MOUNTING PAD, round";"";"";"";"";"17";
"H3";"MOUNT-PAD-ROUND3.0";"MOUNT-PAD-ROUND3.0";"3,0-PAD";"MOUNTING PAD, round";"";"";"";"";"17";
"KY040";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"69";
"LED1";"RGBLED5050";"RGBLED5050";"RGBLED5050";"For 5050 RGB LEDs, the order of the LEDs may vary from one manufacturer to another!";"";"";"";"";"";
"LED2";"RGBLED5050";"RGBLED5050";"RGBLED5050";"For 5050 RGB LEDs, the order of the LEDs may vary from one manufacturer to another!";"";"";"";"";"";
"LED3";"RGBLED5050";"RGBLED5050";"RGBLED5050";"For 5050 RGB LEDs, the order of the LEDs may vary from one manufacturer to another!";"";"";"";"";"";
"LED4";"RGBLED5050";"RGBLED5050";"RGBLED5050";"For 5050 RGB LEDs, the order of the LEDs may vary from one manufacturer to another!";"";"";"";"";"";
"LED5";"RGBLED5050";"RGBLED5050";"RGBLED5050";"For 5050 RGB LEDs, the order of the LEDs may vary from one manufacturer to another!";"";"";"";"";"";
"LED6";"RGBLED5050";"RGBLED5050";"RGBLED5050";"For 5050 RGB LEDs, the order of the LEDs may vary from one manufacturer to another!";"";"";"";"";"";
"R5";"15";"SMS-0";"SMS-0";"SMD SHUNT RESISTOR";"";"";"unknown";"unknown";"0";
"U$1";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"";"";"";"";"";
"U$2";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"";"";"";"";"";
"U$3";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"";"";"";"";"";
"U$4";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"";"";"";"";"";
"U$5";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"";"";"";"";"";
"U$6";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"";"";"";"";"";
"U$7";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"";"";"";"";"";
"U$8";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"";"";"";"";"";
"U$9";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"";"";"";"";"";
"U$10";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"";"";"";"";"";
"U$11";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"";"";"";"";"";
"U$12";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"";"";"";"";"";
"X1";"X1";"RPI_PICO_IG-SMD";"RPI_PICO";"";"";"";"";"";"";
